timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
16353963,0,0,0,0,99,63,0
17420062,0,0,0,0,100,48,0
18491740,0,0,0,0,100,54,0
19301168,0,0,0,0,99,58,0
20367210,0,0,0,0,99,52,0
21439986,0,0,0,0,99,53,0
22510789,0,0,0,0,100,57,0
23320037,0,0,0,0,100,64,0
24391778,0,0,0,0,100,64,0
25313003,0,0,0,0,100,60,0
26384755,0,0,0,0,99,53,0
27456401,0,0,0,0,100,52,0
28528219,0,0,0,0,100,52,0
29343231,0,0,0,0,100,72,0
30403920,0,0,0,0,98,51,0
31475328,0,0,0,0,98,48,0
32279069,0,0,0,0,100,59,0
33350801,0,0,0,0,100,51,0
34422927,0,0,0,0,99,47,0
35494226,0,0,0,0,98,51,0
36298004,0,0,0,0,100,60,0
37369725,0,0,0,0,99,53,0
38441504,0,0,0,0,100,52,0
39365269,0,0,0,0,99,62,0
40442647,0,0,0,0,100,68,0
41503093,0,0,0,0,96,52,0
42307057,0,0,0,0,100,51,0
43378574,0,0,0,0,100,60,0
44450262,0,0,0,0,100,49,0
45521985,0,0,0,0,100,48,0
46325791,0,0,0,0,99,50,0
47397483,0,0,0,0,100,56,0
48469212,0,0,0,0,98,53,0
49284018,0,0,0,0,100,73,0
50350318,0,0,0,0,99,63,0
51422062,0,0,0,0,98,67,0
52489060,0,0,0,0,97,57,0
53291885,0,0,0,0,99,56,0
54475260,0,0,0,0,100,63,0
55284632,0,0,0,0,100,60,0
56356319,0,0,0,0,100,62,0
57422467,0,0,0,0,98,53,0
58494438,0,0,0,0,98,59,0
59297995,0,0,0,0,100,54,0
60369758,0,0,0,0,100,54,0
61441350,0,0,0,0,98,42,0
62513055,0,0,0,0,98,65,0
63316855,0,0,0,0,100,55,0
64388520,0,0,0,0,100,57,0
65460288,0,0,0,0,100,60,0
66531980,0,0,0,0,100,55,0
67335762,0,0,0,0,99,54,0
68407518,0,0,0,0,98,54,0
69325750,0,0,0,0,100,64,0
70397457,0,0,0,0,99,53,0
71469155,0,0,0,0,100,57,0
72278590,0,0,0,0,100,62,0
73350349,0,0,0,0,98,60,0
74416397,0,0,0,0,98,51,0
75488056,0,0,0,0,99,57,0
76297537,0,0,0,0,100,67,0
77369246,0,0,0,0,100,57,0
78435904,0,0,0,0,99,47,0
79507220,0,0,0,0,98,48,0
80310784,0,0,0,0,100,59,0
81382795,0,0,0,0,99,52,0
82454175,0,0,0,0,100,56,0
83636507,0,0,0,0,99,45,0
84440305,0,0,0,0,97,52,0
85512038,0,0,0,0,98,46,0
86315782,0,0,0,0,100,56,0
87388084,0,0,0,0,100,59,0
88459209,0,0,0,0,100,51,0
89530923,0,0,0,0,99,52,0
90335196,0,0,0,0,100,54,0
91406497,0,0,0,0,100,63,0
92478151,0,0,0,0,99,51,0
93287555,0,0,0,0,100,60,0
94353847,0,0,0,0,99,42,0
95425345,0,0,0,0,97,51,0
96497049,0,0,0,0,98,50,0
97306422,0,0,0,0,100,62,0
98492345,0,0,0,0,100,59,0
99301750,0,0,0,0,100,61,0
100367862,0,0,0,0,98,43,0
101439682,0,0,0,0,98,48,0
102511264,0,0,0,0,100,54,0
103320663,0,0,0,0,100,54,0
104393463,0,0,0,0,100,56,0
105458482,0,0,0,0,98,45,0
106530205,0,0,0,0,97,51,0
107333973,0,0,0,0,99,51,0
108405720,0,0,0,0,100,55,0
109477363,0,0,0,0,100,60,0
110286831,0,0,0,0,100,64,0
111352956,0,0,0,0,99,43,0
112424893,0,0,0,0,99,48,0
113360941,0,0,0,0,100,72,0
114421383,0,0,0,0,100,53,0
115493368,0,0,0,0,100,59,0
116296873,0,0,0,0,99,48,0
117374255,0,0,0,0,99,62,0
118440880,0,0,0,0,100,54,0
119511971,0,0,0,0,100,54,0
120327061,0,0,0,0,100,74,0
121387517,0,0,0,0,99,49,0
122459220,0,0,0,0,99,48,0
123531181,0,0,0,0,98,53,0
124345944,0,0,0,0,100,68,0
125406416,0,0,0,0,99,42,0
126478498,0,0,0,0,99,48,0
127281888,0,0,0,0,100,49,0
128460972,0,0,0,0,96,43,0
129532657,0,0,0,0,98,42,0
130342071,0,0,0,0,100,56,0
131419859,0,0,0,0,99,64,0
132479882,0,0,0,0,98,49,0
133283730,0,0,0,0,100,60,0
134355369,0,0,0,0,100,62,0
135427072,0,0,0,0,100,66,0
136498775,0,0,0,0,99,56,0
137308218,0,0,0,0,99,69,0
138374282,0,0,0,0,99,51,0
139445986,0,0,0,0,97,54,0
140517693,0,0,0,0,99,57,0
141327111,0,0,0,0,99,66,0
142508239,0,0,0,0,100,66,0
143312074,0,0,0,0,99,51,0
144383764,0,0,0,0,100,54,0
145455488,0,0,0,0,100,57,0
146281730,0,0,0,0,100,88,0
147336557,0,0,0,0,99,63,0
148408308,0,0,0,0,100,66,0
149474375,0,0,0,0,99,49,0
150283756,0,0,0,0,99,65,0
151349866,0,0,0,0,99,62,0
152421582,0,0,0,0,99,54,0
153493296,0,0,0,0,100,59,0
154297051,0,0,0,0,99,57,0
155369040,0,0,0,0,100,54,0
156440637,0,0,0,0,100,60,0
157369246,0,0,0,0,100,78,0
158429685,0,0,0,0,99,48,0
159501393,0,0,0,0,98,51,0
160305573,0,0,0,0,100,49,0
161376881,0,0,0,0,99,50,0
162448600,0,0,0,0,99,52,0
163520871,0,0,0,0,100,52,0
164335355,0,0,0,0,99,67,0
165395816,0,0,0,0,98,50,0
166467506,0,0,0,0,99,42,0
167276854,0,0,0,0,100,67,0
168354296,0,0,0,0,99,71,0
169420337,0,0,0,0,100,59,0
170486428,0,0,0,0,99,48,0
171290785,0,0,0,0,100,51,0
172474934,0,0,0,0,98,50,0
173284346,0,0,0,0,100,60,0
174356041,0,0,0,0,99,62,0
175433411,0,0,0,0,100,72,0
176494609,0,0,0,0,99,46,0
177297642,0,0,0,0,100,48,0
178369318,0,0,0,0,100,57,0
179446745,0,0,0,0,99,65,0
180512766,0,0,0,0,99,42,0
181316886,0,0,0,0,99,48,0
182388244,0,0,0,0,100,49,0
183459960,0,0,0,0,99,50,0
184531678,0,0,0,0,99,51,0
185341083,0,0,0,0,100,62,0
186521268,0,0,0,0,98,57,0
187325034,0,0,0,0,100,54,0
188397129,0,0,0,0,100,60,0
189468492,0,0,0,0,99,63,0
190289171,0,0,0,0,100,84,0
